eid,start_date,end_date,city,people
e18113,2022/01/02,2022/01/09,"Dubai, UAE","Olivia, Nevaeh, Hazel"
e16597,2021/02/18,2021/02/22,"Rio, Brazil","Emily, Carter, Kayden"
e15113,2020/02/07,2020/02/13,"New Delhi, India","Carter, Andrew, Emily"
e13629,2019/03/10,2019/03/24,"Shanghai, China","Andrew, Kayden, Carter"
e12155,2018/02/27,2018/03/12,"Shanghai, China",Avery
e10647,2017/05/12,2017/05/18,"Bangkok, Thailand",Andrew
e9088,2016/04/12,2016/04/20,"Rio, Brazil","Benjamin, Jackson, Willow"
e7581,2015/04/28,2015/05/11,"Seoul, South Korea",Carter
e6043,2014/01/13,2014/01/23,"Bangkok, Thailand",Piper
e4583,2013/01/20,2013/01/27,"Bangkok, Thailand","Carter, Andrew"
e3045,2012/05/02,2012/05/17,"Sydney, Australia",Piper
e1514,2011/02/14,2011/02/27,"Shanghai, China","Kayden, Emily"
e1,2010/02/12,2010/02/18,"Philadelphia, US","Carter, Kayden"
