q1,"What is the average number of times I took my kids for their vision checkup each year? ","annual_medical_care_log"
q2,"How many times did I take my kids to an optician in 2017?","annual_medical_care_log"
q3,"How many times did I take my kids to the dentist in 2021?","annual_medical_care_log"
q4,"Who did I talk to the most in February 2010?","daily_chat_log"
q5,"How long do I spend on average each day talking to my friends?","daily_chat_log"
q6,"How many times did I talk to Olivia in March 2010?","daily_chat_log"
q7,"What exercise did I do the most in April 2010?","daily_exercise_log"
q8,"How many times did I swim in July 2010?","daily_exercise_log"
q9,"Which month of which year did I swim the most?","daily_exercise_log"
q10,"List all the breakfast dishes that Andrew had in March of 2010.","daily_meal_log"
q11,"How many times did I have pancakes for breakfast in July 2016?","daily_meal_log"
q12,"How much time on average do I spend on reading news each day?","daily_read_log"
q13,"How many books did I read in 2010?","daily_read_log"
q14,"How many movies have I watched in total since 2015?","daily_watchtv_log"
q15,"In which year have I watched the most number of movies?","daily_watchtv_log"
q16,"How many times did I make peanut butter cookies after 2015?","weekly_bakeorcook_log"
q17,"What do I bake or cook the most often?","weekly_bakeorcook_log"
q18,"How many dishes on average did I make on a daily basis in August 2018?","weekly_bakeorcook_log"
q19,"How many times did I go grocery shopping in 2019?","weekly_grocery_log"
q20,"In what year did I buy facial wash the most?","weekly_grocery_log"
q21,"What fruit do I buy the most often?","weekly_grocery_log"
q22,"When did I last go get groceries with Chloe?","weekly_grocery_log"
q23,"How many times have I done yoga with Avery?","weekly_hobby_log"
q24,"Who do I play {hobbies} with the most?","weekly_hobby_log"
q25,"What was my favorite hobby in 2016?","weekly_hobby_log"
q26,"What did I eat in Philadelphia?","travel_dining_log"
q27,"what are the most common foods I eat when I travel?","travel_dining_log"
q28,"what are the most common foods I eat when I'm in Philadelphia?","travel_dining_log"
q29,"what did I eat on the day that I visited Victory Monument?","travel_dining_log,travel_places_visited_log"
q30,"How many times did I visit Ipanema?","travel_places_visited_log"
q31,"How many places did I visit in Philadelphia?","travel_places_visited_log"
q32,"Which places in Bangkok, Thailand did I visit with Andrew?","travel_places_visited_log"
q33,"How many times did I get married?","marriages_log"
q34,"When did I first get married?","marriages_log"
q35,"When was the date of my most recent marriage?","marriages_log"
q36,"How many times did I move in my life?","moves_log"
q37,"When was my most recent move?","moves_log"
q38,"How many times did I move for a job?","moves_log"
q39,"How many times did I travel to Philadelphia?","travel_log"
q40,"When was the first time I traveled to Philadelphia?","travel_log"
q41,"How many times did I travel to Philadelphia in year 2010?","travel_log"
q42,"What are my top N destinations places?","travel_log"
q43,"Find me a picture of shaking beef.",unknown
q44,"When did I last take a photo with my big camera?",unknown
